1995;1;1;7;76;1;1;?
1995;1;2;134;185;1;1;?
1995;1;3;16;-1;0;0;?
1995;1;4;102;6;1;2;?
1995;1;5;91;105;2;2;?
1995;1;6;65;9;0;1;?
1995;1;7;98;125;4;2;?
1995;1;8;40;100;3;2;?
1995;1;9;87;112;1;0;?
1995;2;1;9;102;1;3;?
1995;2;2;112;98;0;2;?
1995;2;3;100;134;3;3;?
1995;2;4;125;16;1;1;?
1995;2;5;105;40;2;6;?
1995;2;6;6;7;1;1;?
1995;2;7;-1;91;1;1;?
1995;2;8;76;87;1;3;?
1995;2;9;185;65;1;1;?
1995;3;1;134;105;1;0;?
1995;3;2;98;76;1;2;?
1995;3;3;102;7;3;2;?
1995;3;4;87;6;0;0;?
1995;3;5;65;100;3;2;?
1995;3;6;16;112;3;1;?
1995;3;7;40;-1;2;0;?
1995;3;8;91;125;4;2;?
1995;3;9;9;185;1;1;?
1995;4;1;7;87;2;1;?
1995;4;2;105;65;1;0;?
1995;4;3;112;91;2;0;?
1995;4;4;-1;134;3;0;?
1995;4;5;100;9;1;1;?
1995;4;6;76;16;1;1;?
1995;4;7;6;98;1;1;?
1995;4;8;185;102;2;2;?
1995;4;9;125;40;0;2;?
1995;5;1;134;125;2;0;?
1995;5;2;65;-1;0;0;?
1995;5;3;16;6;1;4;?
1995;5;4;185;100;2;2;?
1995;5;5;98;7;0;3;?
1995;5;6;9;105;2;1;?
1995;5;7;40;112;2;0;?
1995;5;8;91;76;3;1;?
1995;5;9;102;87;2;3;?
1995;6;1;105;185;3;1;?
1995;6;2;76;40;2;3;?
1995;6;3;112;134;0;1;?
1995;6;4;7;16;6;3;?
1995;6;5;125;65;2;1;?
1995;6;6;6;91;2;0;?
1995;6;7;-1;9;1;1;?
1995;6;8;100;102;1;1;?
1995;6;9;87;98;2;4;?
1995;7;1;185;-1;1;0;?
1995;7;2;91;7;3;4;?
1995;7;3;65;112;1;1;?
1995;7;4;100;105;0;0;?
1995;7;5;40;6;1;0;?
1995;7;6;134;76;1;1;?
1995;7;7;16;87;5;0;?
1995;7;8;102;98;2;0;?
1995;7;9;9;125;1;1;?
1995;8;1;-1;100;1;1;?
1995;8;2;98;16;1;3;?
1995;8;3;125;185;2;1;?
1995;8;4;6;134;2;2;?
1995;8;5;105;102;0;2;?
1995;8;6;76;65;1;1;?
1995;8;7;112;9;1;2;?
1995;8;8;87;91;4;1;?
1995;8;9;7;40;3;1;?
1995;9;1;102;16;3;3;?
1995;9;2;9;76;1;1;?
1995;9;3;40;87;1;2;?
1995;9;4;134;7;2;2;?
1995;9;5;100;125;2;2;?
1995;9;6;105;-1;2;0;?
1995;9;7;185;112;0;0;?
1995;9;8;91;98;2;2;?
1995;9;9;65;6;2;2;?
1995;10;1;-1;102;1;1;?
1995;10;2;6;9;0;0;?
1995;10;3;7;65;3;0;?
1995;10;4;16;91;3;2;?
1995;10;5;112;100;0;3;?
1995;10;6;125;105;1;1;?
1995;10;7;98;40;0;1;?
1995;10;8;76;185;2;0;?
1995;10;9;87;134;1;0;?
1995;11;1;105;112;1;1;?
1995;11;2;65;87;0;2;?
1995;11;3;185;6;1;1;?
1995;11;4;40;16;5;3;?
1995;11;5;100;76;1;0;?
1995;11;6;134;98;1;1;?
1995;11;7;102;91;1;1;?
1995;11;8;9;7;1;2;?
1995;11;9;-1;125;2;0;?
1995;12;1;98;65;3;3;?
1995;12;2;6;100;0;1;?
1995;12;3;112;-1;1;1;?
1995;12;4;7;185;3;0;?
1995;12;5;16;134;1;1;?
1995;12;6;125;102;1;1;?
1995;12;7;91;40;4;1;?
1995;12;8;76;105;2;2;?
1995;12;9;87;9;4;1;?
1995;13;1;102;40;0;0;?
1995;13;2;-1;76;1;1;?
1995;13;3;100;7;2;2;?
1995;13;4;65;16;2;2;?
1995;13;5;134;91;1;1;?
1995;13;6;9;98;2;0;?
1995;13;7;185;87;3;2;?
1995;13;8;105;6;1;4;?
1995;13;9;125;112;3;0;?
1995;14;1;87;100;1;2;?
1995;14;2;98;185;2;1;?
1995;14;3;7;105;4;1;?
1995;14;4;112;102;2;1;?
1995;14;5;40;134;2;0;?
1995;14;6;91;65;1;0;?
1995;14;7;6;-1;2;1;?
1995;14;8;76;125;0;0;?
1995;14;9;16;9;2;2;?
